sub,super
color,body
wheels,body
bulletproof,body
taillight,body
looks,body
styling,body
ipod,interior
small,interior
accessories,interior
tech,interior
comfort,interior
moonroof,interior
roomy,interior
technology,interior
fancier,interior
leather,interior
big,interior
comfortable,interior
wheel,interior
support,interior
bluetooth,interior
alltrack,interior
sport,build
awd,build
luxury,build
fwd/awd,build
transmission,build
fluid,build
air-cleaner,build
power,build
style,build
engine,build
v8,build
fwd,build
warped,build
loaded,build
personality,build
moonroof,build
sensors,build
tires,build
toy,function
commuter,function
premium,function
premium-class,function
mileage,function
turbo,function
advantages,function
performance,function
functionality,function
leader,function
athletic,function
mediocre,function
mediocrity,function
pickup,function
commuter,function
top,reliability
smooth,reliability
reliability,reliability
quality,reliability
king,reliability
warranty,reliability
upscale,reliability
tough,reliability
consistent,reliability
reliable,reliability
issues,issues
troublesome,issues
kinks,issues
issue,issues
problem,issues
heavy,issues
frustrations,issues
fault,issues
failed,issues
failure,issues
like-priced,price
value,price
bargain,price
deal,price
cheap,price
overpriced,price
expensive,price
reasonable,price
like,sentiment
wants,sentiment
great,sentiment
complaining,sentiment
ultra,sentiment
happy,sentiment
good,sentiment
inspiring,sentiment
best,sentiment
fun,sentiment
swag,sentiment
impressed,sentiment
begrudge,sentiment
loser,sentiment
better,sentiment
nice,sentiment
impressive,sentiment
love,sentiment
thankful,sentiment
grand,sentiment
spoiled,sentiment
desirable,sentiment
exclusive,sentiment
hate,sentiment
special,sentiment
worst,sentiment
superior,sentiment
fantastic,sentiment
